player,NPGA/90,season,minutes
Lionel Messi,1.8,2012-2013,2650
Zlatan Ibrahimović,1.62,2015-2016,2549
Cristiano Ronaldo,1.57,2014-2015,3100
Lionel Messi,1.54,2011-2012,3270
Gareth Bale,1.51,2015-2016,1730
Luis Suárez,1.51,2015-2016,3150
Kylian Mbappé,1.5,2018-2019,2342
Lionel Messi,1.49,2014-2015,3375
Lionel Messi,1.49,2018-2019,2710
Gonzalo Higuaín,1.47,2011-2012,1712
Miroslav Klose,1.46,2005-2006,2151
Lionel Messi,1.45,2010-2011,2858
Jadon Sancho,1.44,2019-2020,1807
Karim Benzema,1.42,2015-2016,1970
Neymar,1.4,2017-2018,1797
Kylian Mbappé,1.37,2019-2020,1515
Sergio Agüero,1.35,2013-2014,1528
Lionel Messi,1.35,2009-2010,2805
Lionel Messi,1.33,2019-2020,1890
Lionel Messi,1.32,2017-2018,3002
Luis Suárez,1.31,2013-2014,2962
Lionel Messi,1.29,2015-2016,2729
Luis Suárez,1.29,2016-2017,2853
Thomas Müller,1.27,2019-2020,1558
Thierry Henry,1.27,2004-2005,2844
Mohamed Salah,1.27,2017-2018,2907
Cristiano Ronaldo,1.27,2010-2011,2914
Lionel Messi,1.27,2016-2017,2828
Cristiano Ronaldo,1.26,2012-2013,2716
Cristiano Ronaldo,1.24,2011-2012,3350
Dries Mertens,1.23,2016-2017,2558
Didier Drogba,1.23,2009-2010,2770
Robin van Persie,1.22,2010-2011,1770
Cristiano Ronaldo,1.21,2013-2014,2534
Luis Suárez,1.21,2014-2015,2159
Fabrizio Miccoli,1.2,2011-2012,1953
Ángel Di María,1.19,2015-2016,2122
Gonzalo Higuaín,1.19,2009-2010,2351
Bas Dost,1.18,2014-2015,1525
Arjen Robben,1.18,2014-2015,1673
Gareth Bale,1.18,2013-2014,2062
Karim Benzema,1.17,2012-2013,1770
Karim Benzema,1.16,2011-2012,2242
Lionel Messi,1.15,2013-2014,2501
Alexander Frei,1.14,2003-2004,1970
Cristiano Ronaldo,1.13,2015-2016,3182
Serge Gnabry,1.11,2019-2020,1619
Fernando Torres,1.11,2009-2010,1704
Daniel Sturridge,1.11,2013-2014,2267
Thierry Henry,1.11,2008-2009,2112
Lionel Messi,1.11,2008-2009,2516
Edin Džeko,1.1,2008-2009,2629
Franck Ribéry,1.1,2013-2014,1635
Robert Lewandowski,1.1,2019-2020,2041
Timo Werner,1.1,2019-2020,2051
Alexis Sánchez,1.1,2013-2014,2369
Cristiano Ronaldo,1.1,2017-2018,2288
Edin Džeko,1.09,2016-2017,3048
Thierry Henry,1.09,2002-2003,3301
Arjen Robben,1.08,2016-2017,1825
Alexandre Pato,1.08,2010-2011,1590
